Molecule,1H Shift (delta) (ppm),Multiplicity,J constant (Hz),Biologic origin,Source,Author
Methionine,3.78,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Alanine,3.78,Quartet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Alanine,3.79,Quartet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Alanine,3.79,Quartet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Alanine,3.79,Quartet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Glutamate,3.79,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Alanine,3.79,,,,,
β-Glucose,3.8,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
β-Glucose,3.8,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Glutathione,3.8,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Glucose (increase),3.8,,,Metabolites in the response to cigarette smoke  ,Investigations into biochemical effects of acute cigarette mainstream smoke inhalation using metabolomic (NMR spestroscopic) serum analysis,Metabometrix Ltd. 2006
Glycerol,3.81,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Ethanolamine,3.8184,Multiplet,3.897,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Sorbitol,3.82,Quartet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
α-Glucose,3.82,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
α-Glucose,3.83,Doublet of doublets of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
α-Glucose,3.83,Doublet of doublets of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
α-Glucose,3.83,Doublet of doublets of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Ethanolamine,3.83,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glutathione,3.83,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
α-Glucose,3.83,Doublet of doublets of doublets,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
GlcNAc-Asn,3.83,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Fuc-GlcNAc-Asn,3.83,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Ethanolamine,3.83,Triplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Serine,3.8347,Doublet of doublets,5.979,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
α-Glucose,3.84,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
α-Glucose,3.84,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Serine,3.84,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glycerate,3.84,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Serine,3.84,Multiplet,,Metabolites,Miscelaneous list,Unknown
Glucose (increase),3.84,,,Metabolites in the response to cigarette smoke  ,Investigations into biochemical effects of acute cigarette mainstream smoke inhalation using metabolomic (NMR spestroscopic) serum analysis,Metabometrix Ltd. 2006
α-Glucose,3.84,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Methionine,3.84,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
α-Glucose,3.85,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Histidine,3.85,Doublet of doublets,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Inosine,3.85,Doublet of doublets,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Methionine,3.85,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
β-1-glucuronide of (S)-Ketoprofen,3.85,Doublet,9.86,Anti-inflammatory,Ketoprofen triptic,Unknown
α-Glucose,3.85,Doublet of doublets,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Glycogen,3.86,Quartet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glycogen,3.86,Quartet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Homoserine,3.867,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Glycerol,3.87,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glycogen,3.87,Doublet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Tryptophan,3.87,Doublet of doublets,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Tryptophan,3.87,Doublet of doublets,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Glycerol,3.87,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
β-1-glucuronide of (R)-Ketoprofen,3.87,Doublet,9.47,Anti-inflammatory,Ketoprofen triptic,Unknown
Glycerol,3.87,Multiplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Glycogen,3.87,Doublet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Glycero-phosphocholine,3.871,Multiplet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Thiamine,3.88,Triplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Manα1-3Manβ1-4GlcNAc,3.88,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Aspartate,3.89,Doublet of doublets,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Betaine,3.89,Singlet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Phenylalanine,3.89,Doublet of doublets,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Aspartate,3.89,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Aspartate,3.89,Multiplet,,Metabolites,Miscelaneous list,Unknown
Manβ1-4GlcNAc,3.89,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Aspartate,3.89,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
GPC,3.89,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Aspartate,3.8914,Doublet of doublets,3.647,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
β-Glucose,3.9,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
β-Glucose,3.9,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
β-Glucose,3.9,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Creatine,3.9,Singlet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Asparagine,3.9,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Betaine,3.9,Singlet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Betaine,3.9,Singlet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
β-Glucose,3.9,Doublet of doublets,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Betaine,3.9,Singlet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
β-Glucose,3.9,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Aspartate,3.9,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glycero-phosphocholine,3.903,Multiplet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Aspartate,3.91,Doublet of doublets,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Creatine,3.913,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Sucrose,3.913,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
β-Glucose,3.92,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
β-Glucose,3.92,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Creatine,3.92,Singlet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Inosine,3.92,Doublet of doublets,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
β-Glucose,3.92,Doublet of doublets,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Creatine,3.92,Singlet,,Metabolites,Miscelaneous list,Unknown
Creatine,3.92,Singlet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Tyrosine,3.9281,Doublet of doublets,5.147,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Creatine,3.93,Singlet,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
"Caffeine (1,3,7-trimethylxanthine)",3.93,Singlet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Xanthosine,3.93,Doublet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Phosphocreatine,3.93,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Creatine,3.93,Singlet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Tyrosine,3.93,,,,,
Serine,3.9379,Doublet of doublets,3.561,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Tyrosine,3.94,Doublet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Creatinine,3.94,Singlet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Creatinine,3.94,Singlet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Creatine,3.94,Singlet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Tyrosine,3.94,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Tyrosine,3.94,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Glycero-phosphocholine,3.946,Multiplet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Tyrosine,3.954,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Creatine,3.96,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Serine,3.96,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Serine,3.96,Multiplet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Serine,3.96,Doublet of doublets,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Serine,3.96,Multiplet,,Metabolites,Miscelaneous list,Unknown
Betaine,3.96,Singlet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Histidine,3.96,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Hippurate,3.96,,,,,
Phenylalanine,3.97,Doublet of doublets,,Metabolites in human hepatic bile,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Tyrosine,3.97,Doublet of doublets,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Histidine,3.97,Doublet of doublets,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Phenylalanine,3.97,Doublet of doublets,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Histidine,3.9752,Doublet of doublets,7.959,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Phenylalanine,3.9753,Doublet of doublets,5.209,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Serine,3.9764,Doublet of doublets,-12.254,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
